0,0
ACM Trans. Inf. Syst.,53
International ACM SIGIR Conference on Research and Development in Information Retrieval,52
ACM Trans. Knowl. Discov. Data,35
ACM Comput. Surv.,33
ACM on Conference on Information and Knowledge Management,31
ACM Trans. Intell. Syst. Technol.,29
ACM International Conference on Multimedia,28
ACM International Conference on Information and Knowledge Management,26
IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,26
CHI Conference on Human Factors in Computing Systems,24
Proc. ACM Hum.-Comput. Interact.,24
ACM SIGKDD International Conference on Knowledge Discovery &amp; Data Mining,23
ACM Trans. Asian Low-Resour. Lang. Inf. Process.,22
J. Mach. Learn. Res.,20
"IEEE/ACM Trans. Audio, Speech and Lang. Proc.",20
Companion Proceedings of the The Web Conference,16
ACM International Conference on Information &amp; Knowledge Management,15
The World Wide Web Conference,15
Companion Proceedings of the Web Conference,14
Proceedings of the ACM Web Conference,13
Proc. VLDB Endow.,13
ACM Trans. Web,12
ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,12
International Conference on World Wide Web Companion,11
International Conference on World Wide Web,11
Proceedings of the Tenth ACM International Conference on Web Search and Data Mining,10
ACM Conference on Web Science,10
International Conference on Software Engineering,10
Proceedings of The Web Conference,10
ACM Trans. Multimedia Comput. Commun. Appl.,10
Proceedings of the Twelfth ACM International Conference on Web Search and Data Mining,10
Proceedings of the Web Conference,10
International Conference on Intelligent User Interfaces,9
ACM Conference on Hypertext and Social Media,8
ACM Conference on Recommender Systems,8
ACM Trans. Internet Technol.,8
IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology,7
The VLDB Journal,7
Companion Proceedings of The 2019 World Wide Web Conference,7
IEEE/ACM International Conference on Automated Software Engineering,7
International Conference on Ubiquitous Information Management and Communication,7
Proceedings of the International Conference on Web Intelligence,7
Comput. Linguist.,7
International Conference on Web Search and Data Mining,7
The 41st International ACM SIGIR Conference on Research &amp; Development in Information Retrieval,7
ACM Trans. Manage. Inf. Syst.,7
Proceedings of the Fifteenth ACM International Conference on Web Search and Data Mining,6
International Conference on Information Integration and Web-Based Applications &amp; Services,6
International Conference on Evaluation and Assessment in Software Engineering,6
IEEE/ACM Trans. Comput. Biol. Bioinformatics,6
Annual ACM Symposium on Applied Computing,6
ACM/IEEE on Joint Conference on Digital Libraries,6
International Conference on Mining Software Repositories,6
Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,6
Asia-Pacific Symposium on Internetware,6
ACM Trans. Interact. Intell. Syst.,6
World Wide Web Conference,6
Commun. ACM,5
23rd International Conference on Intelligent User Interfaces,5
International Conference on Management of Digital EcoSystems,5
2021 4th International Conference on Data Science and Information Technology,5
ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,5
ACM SIGKDD Conference on Knowledge Discovery and Data Mining,5
ACM SIGIR International Conference on Theory of Information Retrieval,5
ACM SIGKDD Conference on Knowledge Discovery &amp; Data Mining,5
Brazillian Symposium on Multimedia and the Web,4
ACM / IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM),4
Proceedings of the Knowledge Capture Conference,4
"ACM Conference on User Modeling, Adaptation and Personalization",4
Proceedings of the Symposium on Applied Computing,4
Proceedings of the Eleventh ACM International Conference on Web Search and Data Mining,4
Trans. Soc. Comput.,4
International Conference on Computer Science and Application Engineering,4
Proceedings of the ACM Turing Celebration Conference - China,4
International Conference on Big Data and Computing,4
Proceedings of the ACM SIGIR International Conference on Theory of Information Retrieval,4
Proceedings of the Australasian Computer Science Week Multiconference,4
SIGIR Forum,4
"International Conference on Web Intelligence, Mining and Semantics",4
Proceedings of the First ACM International Conference on AI in Finance,4
International Conference on Software Engineering Companion,4
International Conference on Social Media and Society,4
ACM/SIGAPP Symposium on Applied Computing,4
International Conference on Program Comprehension,4
"International Conference on Availability, Reliability and Security",3
Proceedings of the Evaluation and Assessment in Software Engineering,3
Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems,3
Evaluation and Assessment in Software Engineering,3
Proceedings of the ACM India Joint International Conference on Data Science and Management of Data,3
2021 4th International Conference on Computer Science and Software Engineering (CSSE 2021),3
J. Artif. Int. Res.,3
Conference on Program Comprehension,3
Proceedings of the IEEE/ACM 42nd International Conference on Software Engineering Workshops,3
ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,3
International Symposium on Visual Information Communication and Interaction,3
SIGKDD Explor. Newsl.,3
International Conference on Machine Learning and Soft Computing,3
ACM on International Conference on Multimedia Retrieval,3
International Conference on Software Engineering and Information Management,3
Proceedings of the Brazilian Symposium on Multimedia and the Web,3
14th ACM Web Science Conference,3
Proceedings of the Eighth ACM Conference on Learning @ Scale,3
Proceedings of the Seventh International Learning Analytics &amp; Knowledge Conference,3
International Conference on Data Science and Information Technology,3
"AAAI/ACM Conference on AI, Ethics, and Society",3
Conference on Human Information Interaction and Retrieval,3
ACM Conference on Computer Supported Cooperative Work and Social Computing,3
on Hypertext and Social Media,3
Proceedings of the ACM/IEEE Joint Conference on Digital Libraries in,3
Conference on Conference Human Information Interaction and Retrieval,3
International Conference on Communication and Information Processing,3
Proceedings of the ACM Multimedia Asia,2
2021 The 9th International Conference on Information Technology: IoT and Smart City,2
Proceedings of the Computer Graphics International Conference,2
Conference Companion Publication of the 2020 on Computer Supported Cooperative Work and Social Computing,2
2021 The 5th International Conference on Advances in Artificial Intelligence (ICAAI),2
Adjunct ACM International Joint Conference on Pervasive and Ubiquitous Computing and ACM International Symposium on Wearable Computers,2
Central and Eastern European Software Engineering Conference Russia,2
3rd International Conference on Information Management and Management Science,2
"Adjunct Publication of the 26th Conference on User Modeling, Adaptation and Personalization",2
"Adjunct Publication of the 28th ACM Conference on User Modeling, Adaptation and Personalization",2
Workshop on Data Science for Macro-Modeling with Financial and Economic Datasets,2
Proceedings of the ACM Symposium on Cloud Computing,2
SIGAPP Appl. Comput. Rev.,2
Conference on Human Information Interaction &amp; Retrieval,2
International Conference on Information Engineering,2
International Database Engineering &amp; Applications Symposium,2
International Conference on Computing and Artificial Intelligence,2
International Conference on the Foundations of Digital Games,2
2020 2nd International Conference on Image Processing and Machine Vision,2
15th International Working Conference on Variability Modelling of Software-Intensive Systems,2
International Conference on Frontiers of Educational Technologies,2
International Conference on Information System and Data Mining,2
Proc. ACM Program. Lang.,2
International Conference on Information Technologies and Electrical Engineering,2
International Conference on Internet of Things and Machine Learning,2
International Conference on Learning Analytics &amp; Knowledge,2
International Conference on Management of Data,2
International Conference on Medical and Health Informatics,2
11th Joint Meeting on Foundations of Software Engineering,2
International Workshop on Mining Scientific Publications,2
